#alias	STUDY	SAMPLE	RUN/s	filename	md5	unencr_md5	reads_mapped
S0022I51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS337092	ERR381253,ERR381256,ERR381267,ERR381289,ERR381308,ERR381286,ERR381327,ERR381215,ERR381234,ERR381346	release_20150820_bcf/S0022I51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	b1521b3f2a8481f951680024221088d0	 3212c25712ed1d056efbd15c80d1251e	981008131
C00184A3bs.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS227748	ERR776982,ERR776986,ERR777009,ERR777010,ERR777011,ERR777012,ERR777013	release_20150820_bcf/C00184A3bs.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	8a1663f17e00bfb72ef56d90732d68d4	 2acc4879c529fcaaf8fa49483947ab32	2081145628
C002CTA1bs.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS317235	ERR305526,ERR305529,ERR305532,ERR305535,ERR305538,ERR305541,ERR305565,ERR305568,ERR305571,ERR305574,ERR305577	release_20150820_bcf/C002CTA1bs.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	d303701e969c892fedcc9e8af79d5358	 11c2b4b49238091c9b4581f0d01173c9	1435717300
S006VI53.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS337125	ERR571744,ERR571728,ERR571581,ERR571585,ERR571589,ERR571593,ERR571597,ERR571601,ERR571605,ERR571617,ERR571621,ERR571680,ERR571692,ERR571732,ERR571736,ERR571740,ERR571668	release_20150820_bcf/S006VI53.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	935540da244c638fa10873802ad423e8	 6df1aef473384f3d73d4918f133b60b0	1231835577
C0010KA1bs.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS208314	ERR776908,ERR776905,ERR776906,ERR776907,ERR776909,ERR776910,ERR776911,ERR776912,ERR776913,ERR776914,ERR776915,ERR776916,ERR776917,ERR776918,ERR776919,ERR776920,ERR776921,ERR776922,ERR776923	release_20150820_bcf/C0010KA1bs.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	80b1260131684b1fed48d29f6c234263	 eb5d3fdbca5ddc983c33053d94c39ad1	1988392150
S00DVR51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS422225	ERR571722,ERR571714,ERR571718,ERR571515,ERR571519,ERR571523,ERR571527,ERR571531,ERR571535,ERR571539,ERR571543,ERR571611,ERR571631,ERR571686,ERR571662,ERR571674,ERR571698,ERR571702,ERR571706,ERR571710	release_20150820_bcf/S00DVR51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	350fd5230fa79db69a602e37f4b2f560	 ca9ad688dc9a6d3201434dc9f39652ee	1104727063
S0018A52.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS337078	ERR669921,ERR670097,ERR670145,ERR669941,ERR669945,ERR669949,ERR669965,ERR669969,ERR669973,ERR669977,ERR669981,ERR669985,ERR669989,ERR670021,ERR670093	release_20150820_bcf/S0018A52.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	27ca043705b39cae3ffb9a421d55f870	 ae0f18eb97be5582578c784a55d6ee13	1203234864
C003K951.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS214672	ERR305515,ERR305518,ERR305521,ERR305512,ERR305557,ERR305542,ERR305545,ERR305548,ERR305551,ERR305554,ERR305560	release_20150820_bcf/C003K951.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	e48522c1444453dfd091fb5ea345d1bc	 da57747240dd127a6c2e5725e120afb5	1136735035
C0010KA2bs.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS208315	ERR776927,ERR776924,ERR776925,ERR776926,ERR776928,ERR776929,ERR776930,ERR776931,ERR776932,ERR776933,ERR776934,ERR776935,ERR776936,ERR776937,ERR776938,ERR776942,ERR776939,ERR776940,ERR776941	release_20150820_bcf/C0010KA2bs.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ae259ced01e0fc7094e6b29a59e5006d	 a5edd581f9e489b36950b50f19743eb5	1750126378
S00DCS53.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS433793	ERR571693	release_20150820_bcf/S00DCS53.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	7047d26a99170a55df6d65287e0b1c37	 8c08de0ef48c6d51fa1c9f9969524990	1158160342
S002S351.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS358627	ERR381259,ERR381270,ERR381274,ERR381292,ERR381296,ERR381300,ERR381304,ERR381330,ERR381334,ERR381338,ERR381342,ERR381237,ERR381241,ERR381349	release_20150820_bcf/S002S351.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	d7df09ce68a6fbd031d824e7638a9cf3	 a5d79f5a4f3c517cce54e3e42c66b500	982335588
S000RD54.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS214682	ERR777024,ERR777025,ERR777026,ERR777027,ERR777028,ERR777029,ERR777030,ERR777031	release_20150820_bcf/S000RD54.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	9ca1c08a5037785d2aceac80873a34a1	 01e61d86a6047ed0940e4086f5528bcd	2302420682
C00256A3bs.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS317234	ERR305525,ERR305528,ERR305531,ERR305534,ERR305537,ERR305540,ERR305564,ERR305567,ERR305570,ERR305573,ERR305576	release_20150820_bcf/C00256A3bs.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	37a8575ba4561ed6aeabc4209998ee68	 b66afb3d0e34ff818eb5a06e4ce23102	1253794251
S008X6A1.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS497452	ERR558217,ERR558219,ERR558221,ERR558223,ERR558225,ERR558227,ERR558229,ERR558231,ERR558233,ERR558235,ERR558237,ERR558239,ERR558241,ERR558243,ERR558245,ERR558247,ERR558249,ERR558251	release_20150820_bcf/S008X6A1.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	cd30931df3b7ec15512f1b2c1f78a8e4	 31061f6bd500ec722f1b465b7a86e38f	628412983
S007SK51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS337133	ERR670095,ERR670099,ERR670147,ERR669923,ERR669943,ERR669947,ERR669951,ERR669967,ERR669971,ERR669975,ERR669979,ERR669983,ERR669987,ERR669991,ERR670023	release_20150820_bcf/S007SK51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	3350c7b162702d1a1edafd7dbf6516d9	 668970a4306986c0bb3ad6363a9f3fe6	1264911206
S00C1H51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS422222	ERR571712,ERR571716,ERR571720,ERR571513,ERR571517,ERR571521,ERR571525,ERR571529,ERR571533,ERR571537,ERR571541,ERR571609,ERR571629,ERR571684,ERR571660,ERR571672,ERR571696,ERR571700,ERR571704,ERR571708	release_20150820_bcf/S00C1H51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	1f8b531ee90a31d46c4f6650ab37aa9c	 0ca35160825be5dddd8a521f4a1721f7	1176443099
C000S5A1bs.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS208312	ERR776869,ERR776870,ERR776867,ERR776868,ERR776871,ERR776872,ERR776873,ERR776874,ERR776875,ERR776876,ERR776877,ERR776878,ERR776879,ERR776880,ERR776881,ERR776882,ERR776883,ERR776884,ERR776885	release_20150820_bcf/C000S5A1bs.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	48be53175131cf8811938b3cb45c6aad	 9505f8d6b737b96ac4fcb7495c30db1b	2056598747
S00BJM51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	ERP002159	ERS433785	ERR571726,ERR571567,ERR571571,ERR571575,ERR571579,ERR571551,ERR571555,ERR571559,ERR571563,ERR571615,ERR571627,ERR571634,ERR571638,ERR571642,ERR571646,ERR571650,ERR571654,ERR571678,ERR571690,ERR571658,ERR571666	release_20150820_bcf/S00BJM51.WGBS.gem_cnag_bs.GRCh38.20150707.bcf	dede04fbb7ac550731d5e81b662f16b2	 76b858a5f1fce2b4891c84171e7a61c4	1144891764
